Name,Price,Rating,Reviews,Category,Region,Type,ABV,IBU,Tasting_Notes,Food_Pairing,Suggested_Glassware,Suggested_Serving_Temperature (F),Calories Per Serving (12 Oz),Carbs Per Serving (12 Oz),Features
Budweiser,18.69,4.6,242.0,American-Style Lager,United States,Craft,5.0,12.0,"Balanced, Grainy, Round","Beef, Chicken, Nuts",Pint Glass,40.0,130.0,8.0,None
Heineken Silver Lager,19.99,4.6,5.0,Lager,Netherlands,Craft,4.0,5.0,No special notesbeer_updated,Unknown,Unknown,49.0,95.0,3.2,None
Michelob Ultra Organic Seltzer - Classic Collection,19.99,4.4,3.0,Hard Seltzer,United States,Variety Pack,4.0,35.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,45.0,90.0,0.0,Organic
Coors Light American Lager Beer,14.59,4.7,312.0,Light Lager,United States,Craft,4.2,10.0,"Crisp, Dry, Light, Smooth","Nuts, Chicken",Pint Glass,40.0,102.0,5.0,None
Corona Extra Lager Mexican Beer,19.99,4.7,2930.0,Pilsner,Mexico,Craft,4.6,18.0,"Dry, Grainy, Light, Neutral","Nuts, Chicken",Pint Glass,40.0,148.0,13.9,Gluten Reduced
Bud Light,17.99,4.7,423.0,Light Lager,United States,Craft,4.2,10.0,"Crisp, Dry, Light, Smooth","Nuts, Cured Meats",Pint Glass,40.0,110.0,6.6,None
Michelob Ultra,16.99,4.7,264.0,Light Lager,United States,Craft,4.2,10.0,"Bright, Grainy, Light, Malty","Beef, Nuts",Pint Glass,40.0,95.0,2.6,None
Dos Equis Lager,18.99,4.7,84.0,American-Style Lager,Mexico,Craft,4.2,10.0,"Balanced, Biscuit, Crisp, Fresh, Smooth","Beef, Nuts",Pint Glass,40.0,131.0,11.0,None
Busch Light,22.29,4.6,47.0,Light Lager,United States,Craft,4.1,35.0,"Dry, Light","Nuts, Chicken",Pint Glass,40.0,95.0,3.2,None
Miller Lite Lager Beer,14.59,4.7,312.0,Light Lager,United States,Craft,4.2,10.0,"Crisp, Dry, Light, Smooth","Nuts, Chicken",Pint Glass,40.0,96.0,3.2,None
White Claw Hard Seltzer Variety Pack No. 1,20.89,4.7,239.0,Hard Seltzer,United States,Variety Pack,5.0,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Mason Jar",45.0,100.0,2.0,Gluten-Free
Modelo Especial Lager Mexican Beer,19.99,4.8,1260.0,American-Style Lager,Mexico,Craft,4.0,18.0,"Grainy, Light, Malty","Beef, Nuts",Pint Glass,40.0,143.0,13.6,None
Stella Artois,19.98,4.8,180.0,Pale Lager,United States,Craft,5.0,24.0,"Balanced, Bready, Grainy, Neutral","Cured Meats, Dessert - Chocolate & Coffee, Nuts",Pilsner Glass,45.0,130.0,8.0,None
Heineken Lager,19.99,4.7,167.0,Lager,Netherlands,Craft,5.0,19.0,"Grainy, Herbal, Light","Cheese - Nutty & Semi-Firm, Cheese - Stinky",Pint Glass,45.0,130.0,8.0,Gluten Reduced
White Claw Hard Seltzer Variety Pack No. 2,20.97,4.7,83.0,Hard Seltzer,United States,Variety Pack,5.0,35.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,45.0,100.0,2.0,Gluten-Free
Blue Moon Belgian White Wheat Craft Beer,19.99,4.8,143.0,Witbier,United States,Craft,5.4,9.0,"Spicy, Floral, Citrus, Smooth","Fish - White, Cheese - Fresh & Soft",Snifter/Goblet/Chalice,50.0,130.0,8.0,None
White Claw Black Cherry Hard Seltzer,11.49,4.7,90.0,Hard Seltzer,United States,Craft,5.0,35.0,"Crisp, Flavored, Fruity","Salads & Greens, Nuts","Pint Glass, Mason Jar",45.0,100.0,2.0,Gluten Reduced
Topo Chico Hard Seltzer Variety Pack,20.89,4.7,36.0,Hard Seltzer,United States,Variety Pack,4.7,35.0,"Fresh, Fruity, Guava, Pineapple, Tropical Fruit",Unknown,Snifter/Goblet/Chalice,45.0,100.0,8.0,Gluten-Free
White Claw Hard Seltzer Variety Pack No. 3,20.99,4.8,50.0,Specialty Beer & Alternatives,United States,Craft,5.0,35.0,"Crisp, Flavored, Fruity",Unknown,Snifter/Goblet/Chalice,45.0,100.0,2.0,Gluten-Free
TRULY Hard Seltzer Berry Variety Pack,20.19,4.7,138.0,Hard Seltzer,United States,Variety Pack,5.0,35.0,"Berry, Citrus, Fruity, Light, Bright","Cheese - Fresh & Soft, Chicken, Salads & Greens","Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",45.0,100.0,2.0,"Gluten Reduced, Gluten-Free"
Guinness Draught,11.29,4.8,150.0,Dry Stout,Ireland,Craft,4.2,45.0,"Balanced, Chocolate, Creamy, Dry, Velvety","Dessert - Chocolate & Coffee, Nuts, Shellfish",Pint Glass,50.0,126.0,8.0,None
Voodoo Ranger Imperial IPA,12.99,4.7,77.0,Imperial / Double IPA,United States,Craft,9.0,70.0,"Bitter, Citrus, Hoppy, Strong","Cheese - Blue, Cheese - Creamy & Bloomy, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Cheese - Stinky, Cured Meats, Fish - Meaty & Oily, Mushrooms, Root Vegetables",Snifter/Goblet/Chalice,55.0,250.0,17.0,Kosher
White Claw Seltzer Surge Variety Pack,20.99,4.7,17.0,Variety Pack Beer,United States,Variety Pack,8.0,35.0,No special notesbeer_updated,Unknown,Unknown,49.0,130.0,8.0,Gluten-Free
Yuengling Traditional Lager,15.6,4.8,91.0,Amber / Vienna Lager,United States,Craft,4.5,16.0,"Malty, Dry, Bready","Lamb, Pork","Pint Glass, Pilsner Glass",50.0,140.0,8.0,None
Coors Banquet Lager Beer,8.41,4.7,79.0,American-Style Lager,United States,Craft,5.0,15.0,"Biscuit, Bready, Crisp","Beef, Cured Meats, Fish - Meaty & Oily",Pint Glass,40.0,130.0,8.0,None
Corona Premier Mexican Lager Light Beer,19.79,4.7,182.0,Light Lager,Mexico,Craft,4.0,7.0,No special notesbeer_updated,Unknown,Pint Glass,40.0,90.0,2.6,None
Sierra Nevada Hazy Little Thing IPA,12.49,4.7,63.0,IPA,United States,"Craft, Independent Craft Brewer",6.7,35.0,"Bold, Bright, Fresh, Fruity, Hoppy, Tropical, Tropical Fruit","Beef, Cheese - Hard Aged, Cured Meats, Fruit - Citrus, Fruit - Dried, Nuts","Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Miller High Life American Lager Beer,11.49,4.7,98.0,Lager,United States,Craft,4.6,7.0,"Biscuit, Crisp, Light","Beef, Chicken, Salads & Greens",Pint Glass,40.0,141.0,8.0,None
Flying Embers Variety Pack Hard Kombucha,26.49,4.4,4.0,Hard Kombucha,United States,Variety Pack,6.9,35.0,"Bright, Citrus, Crisp, Fresh",Unknown,Unknown,49.0,130.0,8.0,Organic
Flying Embers Pineapple Chili Hard Kombucha,4.99,4.4,4.0,Hard Kombucha,United States,Craft,6.8,35.0,"Fresh, Pineapple, Spicy, Tropical Fruit",Unknown,Unknown,49.0,130.0,0.0001,Organic
Corona Light Mexican Lager Light Beer,24.99,4.7,304.0,Light Lager,Mexico,Craft,4.0,18.0,"Dry, Grainy, Light, Smooth","Chicken, Nuts",Pint Glass,40.0,99.0,4.8,Gluten Reduced
"Angry Orchard Crisp Apple Hard Cider, Spiked",11.99,4.7,228.0,Cider,United States,Craft,5.0,10.0,"Sweet, Apple, Fruity, Bright","Cheese - Blue, Pork","Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,"Gluten-Free, Kosher"
Pacifico Clara Lager Mexican Beer,19.98,4.7,142.0,Pilsner,Mexico,Craft,4.4,18.0,"Citrus, Crisp, Dry, Grainy",Unknown,Pint Glass,45.0,143.0,13.6,None
Flying Embers Black Cherry Hard Kombucha,4.99,4.3,2.0,Hard Kombucha,United States,Craft,7.2,35.0,"Cherry, Citrus, Fruity, Tart",Unknown,Unknown,49.0,135.0,0.0001,Organic
New Belgium Mountain Time Premium Lager,13.99,4.7,3.0,American-Style Lager,United States,"Craft, Sustainable",4.4,15.0,"Crisp, Light","Fruit - Citrus, Mushrooms, Root Vegetables, Salads & Greens",Pint Glass,45.0,130.0,10.0,Kosher
Flying Embers Watermelon Hard Kombucha,15.99,4.9,2.0,Hard Kombucha,United States,Craft,4.5,35.0,"Bright, Salty, Watermelon",Unknown,Unknown,49.0,85.0,0.0,"Gluten-Free, Organic"
Lagunitas IPA,11.99,4.7,92.0,IPA,United States,Craft,6.2,52.0,"Bitter, Citrus, Floral, Hoppy","Cured Meats, Nuts","Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
"Twisted Tea Original, Hard Iced Tea",10.79,4.7,61.0,Hard Iced Tea,United States,Craft,5.0,35.0,Sweet,"Beef, Chicken, Pork",Mason Jar,45.0,130.0,8.0,None
TRULY Hard Seltzer Lemonade Variety Pack,20.46,4.7,118.0,Hard Seltzer,United States,Variety Pack,5.0,35.0,"Balanced, Bright, Crisp, Fruity, Pineapple","Chicken, Fruit - Citrus, Salads & Greens",Snifter/Goblet/Chalice,45.0,100.0,2.0,"Gluten Reduced, Gluten-Free"
Pabst Blue Ribbon,11.99,4.7,93.0,American-Style Lager,United States,Craft,4.7,10.0,"Dry, Light, Grainy, Malty","Nuts, Chicken",Pint Glass,40.0,130.0,8.0,None
Peroni Nastro Azzurro Import Lager Beer,19.49,4.8,45.0,Dortmunder / Export Lager,Italy,Craft,5.1,35.0,"Dry, Grainy, Light",Unknown,Pint Glass,50.0,130.0,8.0,None
White Claw Mango Hard Seltzer,11.99,4.7,55.0,Hard Seltzer,United States,Craft,5.0,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Mason Jar",45.0,100.0,2.0,Gluten Reduced
"Lawson's Finest Liquids, Sip of Sunshine, IPA",17.99,4.8,30.0,New England / Hazy IPA,United States,Craft,8.0,65.0,"Hoppy, Citrus, Tropical Fruit, Smooth","Salads & Greens, Cheese - Hard Aged","Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Voodoo Ranger Juice Force Hazy Imperial IPA,12.99,4.5,42.0,Imperial / Double IPA,United States,Craft,9.5,30.0,"Citrus, Fruity, Hoppy, Passionfruit","Beef, Cheese - Blue, Cheese - Creamy & Bloomy, Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Cheese - Stinky, Cured Meats, Root Vegetables, Salads & Greens",Snifter/Goblet/Chalice,50.0,130.0,8.0,Kosher
"Twisted Tea Variety Party Pack, Hard Iced Tea",17.99,4.7,19.0,Hard Iced Tea,United States,Variety Pack,5.0,35.0,"Peach, Smooth, Crisp","Beef, Chicken, Pork",Mason Jar,45.0,130.0,8.0,None
Voodoo Ranger Hoppy Variety Pack,20.99,4.8,18.0,Imperial / Double IPA,United States,"Craft, Variety Pack",7.0,35.0,"Bitter, Bold, Hoppy","Beef, Cheese - Blue, Cheese - Creamy & Bloomy, Cheese - Fresh & Soft, Cured Meats, Pasta, Pork, Root Vegetables",Snifter/Goblet/Chalice,50.0,130.0,8.0,None
TRULY Hard Seltzer Tropical Variety Pack,19.99,4.7,57.0,Hard Seltzer,United States,Variety Pack,5.0,35.0,"Fresh, Fruity, Tropical, Tropical Fruit, Light","Chicken, Fruit - Citrus, Salads & Greens",Snifter/Goblet/Chalice,45.0,100.0,2.0,"Gluten Reduced, Gluten-Free"
Heineken Non-Alcoholic 0.0,12.99,4.7,64.0,Non-Alcoholic Beer,Netherlands,Non-Alcoholic,0.0,0.0,No special notesbeer_updated,Unknown,Pint Glass,45.0,130.0,8.0,Gluten Reduced
TRULY Hard Seltzer Punch Variety Pack,20.46,4.7,34.0,Hard Seltzer,United States,Variety Pack,5.0,35.0,"Berry, Citrus, Fruity, Tropical Fruit, Red Fruit, Crisp","Beef, Chicken, Salads & Greens",Snifter/Goblet/Chalice,45.0,100.0,8.0,"Gluten Reduced, Gluten-Free"
Bell's Two Hearted Ale IPA,22.99,4.8,44.0,IPA,United States,Craft,7.0,60.0,"Bitter, Citrus, Fresh, Hoppy, Pine","Beef, Nuts, Chicken",Snifter/Goblet/Chalice,55.0,212.0,8.0,None
"Founders All Day IPA, Session IPA Beer",24.47,4.7,57.0,Session IPA,United States,Craft,4.7,42.0,"Dry, Floral, Grapefruit, Hoppy, Light, Tropical, Tropical Fruit","Cheese - Fresh & Soft, Chicken, Dessert - Fruit, Fish - Meaty & Oily, Fruit - Citrus, Salads & Greens, Shellfish, Tomatoes",Pint Glass,50.0,140.0,10.6,None
Natural Ice,10.09,4.7,46.0,Lager,United States,Craft,5.9,5.0,"Light, Dry",Nuts,Pint Glass,40.0,130.0,8.0,None
Guinness Extra Stout,11.49,4.8,64.0,Dry Stout,Ireland,Craft,5.6,35.0,"Chocolate, Coffee, Dry, Tobacco","Pork, Dessert - Chocolate & Coffee",Pint Glass,50.0,130.0,8.0,None
Sierra Nevada Pale Ale,11.69,4.7,40.0,American Pale Ale,United States,"Craft, Independent Craft Brewer",5.5,38.0,"Balanced, Bold, Hoppy, Malty, Pine, Smooth, Spicy","Beef, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Chicken, Cured Meats, Nuts, Pork, Turkey",Pint Glass,50.0,130.0,8.0,None
Sapporo Premium,44.0,4.7,45.0,Lager,Canada,Craft,4.9,18.0,"Dry, Light","Beef, Chicken, Nuts","Pint Glass, Pilsner Glass",40.0,130.0,8.0,None
Flying Embers Wild Berry Hard Kombucha,15.39,3.6,1.0,Hard Kombucha,United States,Craft,4.5,35.0,"Berry, Bright, Fresh, Fruity",Unknown,Unknown,49.0,85.0,0.0,"Gluten-Free, Organic"
Flying Embers Sweet & Heat Variety Pack Hard Seltzer,12.99,4.5,4.0,Hard Seltzer,United States,Variety Pack,5.0,35.0,"Citrus, Crisp, Fresh, Fruity, Guava, Pineapple, Spicy, Watermelon",Unknown,Snifter/Goblet/Chalice,45.0,130.0,8.0,Organic
Bud Light Platinum,16.98,4.7,58.0,American-Style Lager,United States,Craft,6.0,12.0,"Dry, Grainy, Light","Nuts, Chicken",Pint Glass,40.0,137.0,4.4,None
Smirnoff Ice Original,11.49,4.7,152.0,Malt Liquor,United States,Craft,4.5,0.0,"Flavored, Acidic, Sweet","Nuts, Chicken",Pint Glass,40.0,130.0,8.0,None
Bud ICE,1.99,4.7,29.0,Light Lager,United States,Craft,10.0,15.0,"Dry, Light, Grainy","Nuts, Chicken",Pint Glass,40.0,130.0,8.0,None
Flying Embers Botanicals & Bitters Variety Pack Hard Seltzer,29.99,4.6,4.0,Hard Seltzer,United States,Variety Pack,5.0,35.0,"Bright, Cherry, Floral, Fresh, Fruity, Passionfruit, Rose Petal, Tropical Fruit",Unknown,Snifter/Goblet/Chalice,45.0,95.0,0.0,Organic
Flying Embers Variety Pack Hard Seltzer,21.99,4.2,3.0,Hard Seltzer,United States,Variety Pack,5.0,35.0,"Berry, Bright, Cherry, Citrus, Floral, Fresh, Fruity, Passionfruit, Rose Petal, Tropical, Tropical Fruit, Watermelon",Unknown,Snifter/Goblet/Chalice,45.0,95.0,0.0,"Gluten-Free, Organic"
Avery Hazyish IPA,11.99,4.8,1.0,IPA,United States,"Independent Craft Brewer, Craft",6.5,30.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Bud Light Lime,16.49,4.8,52.0,Light Lager,United States,Craft,4.2,8.0,"Dry, Flavored, Light","Salads & Greens, Fish - White",Pint Glass,40.0,116.0,8.0,Gluten Reduced
TRULY Hard Seltzer Margarita Style Variety Mix Pack,20.69,4.7,19.0,Hard Seltzer,United States,Variety Pack,5.3,35.0,"Citrus, Crisp, Sour, Sweet, Watermelon, Fruity, Light","Beef, Salads & Greens, Chicken",Snifter/Goblet/Chalice,45.0,110.0,8.0,Gluten-Free
Natural Light,20.99,4.7,58.0,Light Lager,United States,Craft,4.2,10.0,"Bready, Dry, Grainy, Light",Nuts,Pint Glass,40.0,95.0,3.2,None
"Twisted Tea Half & Half, Hard Iced Tea",2.12,4.7,29.0,Hard Iced Tea,United States,Craft,5.0,35.0,"Fruity, Sweet, Syrupy","Beef, Chicken, Pork, Shellfish",Mason Jar,45.0,130.0,8.0,None
Kona Big Wave Golden Ale,11.19,4.7,44.0,Golden / Blonde Ale,United States,Craft,4.4,21.0,"Honey, Malty, Sweet","Nuts, Chicken",Pint Glass,50.0,130.0,8.0,None
Cigar City Brewing Jai Alai IPA,12.86,4.8,41.0,IPA,United States,Craft,7.5,70.0,"Tropical Fruit, Citrus, Bitter","Salads & Greens, Chicken","Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Samuel Adams Seasonal Beer,19.99,4.6,76.0,Seasonal Beer,United States,"Craft, Seasonal",5.3,35.0,"Bright, Citrus, Crisp, Smooth, Light","Beef, Cheese - Blue, Cheese - Creamy & Bloomy, Chicken, Cured Meats, Dessert - Fruit, Fish - White, Fruit - Citrus, Fruit - Sweet, Pasta, Pork, Salads & Greens, Shellfish, Turkey",Pint Glass,49.0,130.0,8.0,None
White Claw Ruby Grapefruit Hard Seltzer,11.79,4.7,26.0,Hard Seltzer,United States,Craft,5.0,35.0,"Citrus, Dry, Flavored, Grapefruit","Salads & Greens, Nuts","Pint Glass, Mason Jar",45.0,100.0,2.0,Gluten Reduced
Vizzy Hard Seltzer Tropical Variety Pack,19.98,4.7,46.0,Hard Seltzer,United States,Variety Pack,5.0,35.0,"Berry, Fresh, Fruity, Melon, Pineapple",Unknown,Snifter/Goblet/Chalice,45.0,100.0,8.0,Gluten-Free
Leinenkugel's Summer Shandy Craft Beer,10.99,4.7,38.0,Seasonal Beer,United States,"Craft, Seasonal",4.2,35.0,"Citrus, Light, Sweet","Chicken, Fruit - Citrus, Salads & Greens","Pilsner Glass, Pint Glass",45.0,136.0,12.5,Kosher
Elysian Space Dust IPA,14.0,4.8,59.0,IPA,United States,Craft,8.2,62.0,"Citrus, Hoppy, Tropical Fruit","Fish - White, Fruit - Sweet","Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Samuel Adams Boston Lager Beer,2.29,4.7,35.0,Amber / Vienna Lager,United States,Craft,5.0,30.0,"Biscuit, Caramel, Honey, Malty","Cheese - Creamy & Bloomy, Nuts","Pint Glass, Pilsner Glass",50.0,130.0,8.0,None
New Belgium Fat Tire Ale,3.99,4.8,60.0,Ale,United States,"Craft, Sustainable",5.2,15.0,"Balanced, Bright, Light, Smooth","Cheese - Hard Aged, Dessert - Vanilla & Caramel, Nuts, Pasta, Pork, Root Vegetables",Snifter/Goblet/Chalice,50.0,160.0,9.0,Kosher
Athletic Brewing Run Wild IPA,11.99,4.7,30.0,Non-Alcoholic Beer,United States,"Craft, Independent Craft Brewer, Non-Alcoholic",0.5,35.0,"Balanced, Citrus, Fresh, Hoppy, Pine","Beef, Cheese - Blue, Cheese - Hard Aged, Chicken, Cured Meats, Root Vegetables, Salads & Greens",Pint Glass,50.0,65.0,14.0,Organic
Modelo Negra Amber Lager Mexican Beer,19.54,4.7,303.0,Amber / Vienna Lager,Mexico,Craft,5.4,16.0,"Biscuit, Bold, Caramel, Malty","Cheese - Hard Aged, Fruit - Dried","Pilsner Glass, Pint Glass",50.0,172.0,15.7,None
White Claw Surf Variety Pack,21.29,4.4,11.0,Hard Seltzer,United States,Variety Pack,5.0,35.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,45.0,100.0,1.0,Gluten-Free
Voodoo Ranger Juicy Haze IPA,12.69,4.8,29.0,New England / Hazy IPA,United States,Craft,7.5,42.0,"Creamy, Hoppy","Cheese - Blue, Cheese - Creamy & Bloomy, Dessert - Vanilla & Caramel, Fish - Meaty & Oily, Mushrooms, Root Vegetables","Pint Glass, Snifter/Goblet/Chalice",50.0,230.0,16.0,Kosher
White Claw Natural Lime Hard Seltzer,11.82,4.7,25.0,Hard Seltzer,United States,Craft,5.0,35.0,"Bright, Citrus, Flavored, Light","Fish - White, Shellfish",Unknown,49.0,100.0,2.0,None
Lone River Ranch Water Variety 12-Pack,19.99,4.7,12.0,Hard Seltzer,United States,"Craft, Variety Pack",4.0,35.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,45.0,80.0,3.0,Gluten-Free
Allagash White,11.19,4.8,34.0,Witbier,United States,"Craft, Independent Craft Brewer",5.2,13.0,"Yeasty, Citrus, Spicy, Fresh","Beef, Cheese - Blue, Cheese - Creamy & Bloomy, Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Cheese - Stinky, Chicken, Cured Meats, Dessert - Chocolate & Coffee, Dessert - Fruit, Dessert - Vanilla & Caramel, Duck & Game Bird, Fish - Meaty & Oily, Fish - White, Fruit - Citrus, Fruit - Dried, Fruit - Sweet, Lamb, Mushrooms, Nuts, Pasta, Pork, Root Vegetables, Salads & Greens, Shellfish, Tomatoes, Turkey",Snifter/Goblet/Chalice,50.0,130.0,8.0,None
Victory Golden Monkey,2.59,4.7,43.0,Tripel,United States,Craft,9.5,25.0,"Fruity, Spicy, Yeasty, Floral","Turkey, Dessert - Fruit",Snifter/Goblet/Chalice,50.0,130.0,8.0,None
Avery IPA,10.99,4.9,1.0,IPA,United States,"Independent Craft Brewer, Craft",6.5,69.0,"Bitter, Hoppy, Pine, Herbal","Fruit - Sweet, Tomatoes","Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Avery Brewing White Rascal,11.99,4.8,5.0,Witbier,United States,"Independent Craft Brewer, Craft",5.6,22.0,"Creamy, Citrus, Yeasty","Duck & Game Bird, Salads & Greens",Snifter/Goblet/Chalice,50.0,130.0,8.0,None
Avery Maharaja Imperial IPA,8.99,4.8,4.0,Imperial / Double IPA,United States,"Independent Craft Brewer, Craft",10.0,102.0,"Strong, Malty, Hoppy, Thick","Cheese - Nutty & Semi-Firm, Pork",Snifter/Goblet/Chalice,55.0,130.0,8.0,None
Steel Reserve 211 High Gravity Lager Beer,2.39,4.7,30.0,Malt Liquor,United States,Craft,8.1,35.0,No special notesbeer_updated,Unknown,Pint Glass,40.0,130.0,8.0,None
Simply Spiked Lemonade Variety Pack,20.99,4.7,6.0,Hard Lemonade,United States,Variety Pack,5.0,35.0,"Blueberry, Citrus, Fruity, Tart",Beef,Unknown,49.0,170.0,19.0,"Gluten-Free, Kosher"
Happy Dad Hard Seltzer Variety Pack,19.99,4.4,9.0,Hard Seltzer,United States,Variety Pack,5.0,35.0,"Fresh, Fruity",Unknown,Snifter/Goblet/Chalice,45.0,100.0,2.0,None
Tecate Alta,3.99,5.0,3.0,American-Style Lager,Mexico,Craft,4.0,5.0,"Balanced, Crisp",Unknown,Pilsner Glass,40.0,85.0,2.4,None
Voodoo Ranger IPA,11.54,4.7,35.0,IPA,United States,Craft,7.0,50.0,"Citrus, Floral, Hoppy, Stone Fruit","Cheese - Blue, Cheese - Creamy & Bloomy, Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Cheese - Stinky, Lamb, Mushrooms, Nuts, Root Vegetables","Pint Glass, Snifter/Goblet/Chalice",50.0,200.0,15.0,Kosher
Red Stripe,15.99,4.8,33.0,Pale Lager,Jamaica,Craft,4.7,23.0,"Light, Dry, Grainy",Nuts,Pint Glass,45.0,130.0,8.0,None
Shiner Bock,18.16,4.8,43.0,Bock,United States,Craft,4.41,13.0,"Caramel, Dark Fruit, Bready","Fruit - Dried, Duck & Game Bird","Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",55.0,141.0,12.4,None
Dogfish Head 90-Minute IPA,11.62,4.8,35.0,Imperial / Double IPA,United States,Craft,9.0,90.0,"Malty, Bitter, Sweet","Fruit - Dried, Root Vegetables",Snifter/Goblet/Chalice,55.0,130.0,8.0,None
White Claw Watermelon Hard Seltzer,11.99,4.7,6.0,Hard Seltzer,Canada,Craft,5.0,35.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,45.0,130.0,8.0,None
Maine Beer Company Lunch IPA,8.5,4.9,22.0,IPA,United States,"Craft, Independent Craft Brewer",7.0,62.0,"Balanced, Citrus, Hoppy, Malty, Pine","Cheese - Nutty & Semi-Firm, Beef","Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Victory Brewing Sour Monkey,14.5,4.7,39.0,Sour / Wild Ale,United States,Craft,9.5,10.0,"Citrus, Sour",Unknown,"Snifter/Goblet/Chalice, Stange",50.0,130.0,8.0,None
Narragansett Lager,7.99,4.7,34.0,American-Style Lager,United States,"Craft, Independent Craft Brewer",5.0,14.0,"Balanced, Crisp, Dry, Malty, Smooth","Beef, Chicken, Cured Meats, Duck & Game Bird, Fish - Meaty & Oily, Fish - White, Nuts, Pasta, Pork, Shellfish, Turkey",Pint Glass,40.0,148.0,8.0,None
Mike's Hard Lemonade Variety Pack,19.48,4.8,46.0,Hard Lemonade,United States,Variety Pack,5.0,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Mason Jar",45.0,130.0,8.0,Gluten Reduced
Mighty Squirrel Cloud Candy IPA,15.99,4.8,26.0,New England / Hazy IPA,United States,Craft,6.5,60.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,50.0,130.0,8.0,None
Mike's Hard Lemonade,18.49,4.7,36.0,Hard Lemonade,United States,Craft,5.0,35.0,"Citrus, Flavored",Nuts,"Pint Glass, Mason Jar",45.0,130.0,8.0,Gluten Reduced
TRULY Hard Seltzer Citrus Variety Pack,19.98,4.7,43.0,Hard Seltzer,United States,Variety Pack,5.0,35.0,"Citrus, Crisp, Fresh, Light, Sweet","Cheese - Fresh & Soft, Chicken, Fruit - Citrus, Salads & Greens",Pint Glass,45.0,100.0,2.0,"Gluten Reduced, Gluten-Free, Kosher"
Topo Chico Margarita Hard Seltzer Variety Pack,20.69,4.5,4.0,Hard Seltzer,United States,Variety Pack,4.5,35.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,45.0,130.0,8.0,None
Mike's Harder Lemonade,16.99,4.7,19.0,Hard Lemonade,United States,Craft,8.0,35.0,"Acidic, Citrus, Flavored, Strong","Nuts, Shellfish",Snifter/Goblet/Chalice,45.0,130.0,8.0,Gluten Reduced
Goose Island IPA,17.99,4.7,47.0,IPA,United States,Craft,4.0,55.0,"Fruity, Hoppy, Malty","Beef, Cured Meats","Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Voodoo Ranger Fruit Force IPA,12.99,4.5,4.0,Imperial / Double IPA,United States,Craft,9.5,20.0,Fruity,"Cheese - Blue, Cheese - Creamy & Bloomy, Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Cheese - Stinky, Cured Meats, Dessert - Chocolate & Coffee, Dessert - Fruit, Duck & Game Bird, Lamb, Mushrooms, Nuts, Pasta",Unknown,49.0,240.0,13.0,Kosher
Asahi Super Dry,28.43,4.8,16.0,Rice Lager,Japan,Craft,5.0,20.0,"Crisp, Dry, Fresh, Grainy, Light, Smooth","Beef, Cheese - Blue, Cheese - Creamy & Bloomy, Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Cheese - Stinky, Chicken, Cured Meats, Dessert - Chocolate & Coffee, Dessert - Fruit, Dessert - Vanilla & Caramel, Duck & Game Bird, Fish - Meaty & Oily, Fish - White, Fruit - Citrus, Fruit - Dried, Fruit - Sweet, Lamb, Mushrooms, Nuts, Pasta, Pork, Root Vegetables, Salads & Greens, Shellfish, Tomatoes, Turkey",Pint Glass,45.0,135.0,6.1,None
Fiddlehead IPA,15.0,4.8,8.0,IPA,United States,Craft,6.2,53.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,50.0,130.0,8.0,None
